distance,angle
0,358.296875
0,359.2509765625
5146,352.455078125
0,353.4091796875
4890,354.36328125
4876,355.3173828125
4864,356.271484375
4847,357.2255859375
4867,358.1796875
0,359.0087890625
0,367.837890625
0,361.0419921875
0,369.74609375
0,362.9501953125
4846,363.904296875
0,364.8583984375
0,365.8125
4922,366.7666015625
0,375.470703125
0,376.4248046875
0,370.00390625
0,370.9580078125
0,372.037109375
0,372.9912109375
0,381.1953125
0,382.1494140625
0,383.103515625
0,384.0576171875
0,385.01171875
0,385.9658203125
0,386.919921875
0,387.8740234375
0,28.828125
0,29.7822265625
0,30.736328125
0,31.6904296875
0,32.64453125
0,33.5986328125
0,34.552734375
0,35.5068359375
0,36.4609375
0,37.4150390625
0,38.369140625
0,39.3232421875
0,34.40234375
0,41.2314453125
0,42.185546875
0,43.1396484375
0,44.09375
0,45.0478515625
0,46.001953125
0,46.9560546875
0,47.91015625
0,48.8642578125
0,49.818359375
0,50.7724609375
0,51.7265625
0,52.6806640625
0,53.634765625
0,54.5888671875
0,55.54296875
0,56.4970703125
0,57.451171875
0,58.4052734375
0,59.359375
0,60.322265625
0,61.28515625
0,62.248046875
0,63.2109375
0,64.173828125
0,65.13671875
0,66.099609375
0,67.0625
0,68.025390625
0,68.98828125
0,69.951171875
0,66.0390625
0,71.876953125
0,72.83984375
0,73.802734375
0,74.765625
445,71.103515625
0,76.69140625
440,72.779296875
440,73.7421875
439,74.955078125
438,75.91796875
438,76.630859375
436,77.71875
0,83.431640625
435,79.64453125
436,80.857421875
0,86.3203125
0,87.283203125
437,83.49609375
438,84.583984375
438,85.296875
437,86.50341796875
0,92.0849609375
0,93.04150390625
0,93.998046875
0,94.95458984375
0,95.9111328125
0,96.86767578125
0,97.82421875
0,98.78076171875
0,99.7373046875
0,100.69384765625
0,101.650390625
0,102.60693359375
0,103.5634765625
0,104.52001953125
0,105.4765625
0,106.43310546875
0,107.3896484375
0,108.34619140625
0,109.302734375
0,110.25927734375
0,111.2158203125
0,112.17236328125
0,113.12890625
0,114.08544921875
0,115.0419921875
0,115.99853515625
0,116.955078125
0,117.91162109375
0,118.8681640625
0,119.82470703125
0,120.78125
0,121.74169921875
0,122.7021484375
0,123.66259765625
0,124.623046875
0,125.58349609375
0,126.5439453125
0,127.50439453125
0,128.46484375
0,129.42529296875
0,130.3857421875
0,131.34619140625
0,132.306640625
0,133.26708984375
0,134.2275390625
0,135.18798828125
0,136.1484375
0,137.10888671875
0,138.0693359375
0,139.02978515625
0,139.990234375
0,140.95068359375
0,141.9111328125
0,142.87158203125
0,143.83203125
0,144.79248046875
0,145.7529296875
0,146.71337890625
0,147.673828125
0,148.63427734375
0,149.5947265625
0,150.55517578125
0,151.515625
0,152.47705078125
0,153.4384765625
0,154.39990234375
0,155.361328125
0,156.32275390625
0,157.2841796875
0,158.24560546875
0,159.20703125
0,160.16845703125
0,161.1298828125
0,162.09130859375
0,163.052734375
0,164.01416015625
0,164.9755859375
0,165.93701171875
0,166.8984375
0,167.85986328125
0,168.8212890625
0,169.78271484375
0,170.744140625
0,171.45556640625
0,172.6669921875
0,173.62841796875
0,174.58984375
0,175.55126953125
0,176.5126953125
0,177.47412109375
0,178.435546875
0,179.39697265625
0,180.3583984375
0,181.31982421875
0,182.28125
0,183.24658203125
0,184.2119140625
0,185.17724609375
0,186.142578125
0,187.10791015625
0,188.0732421875
0,189.03857421875
0,190.00390625
0,190.96923828125
0,191.9345703125
0,192.89990234375
0,193.865234375
0,194.83056640625
0,195.7958984375
0,196.76123046875
0,197.7265625
0,198.69189453125
0,199.6572265625
0,200.62255859375
0,201.587890625
0,202.55322265625
0,203.5185546875
0,204.48388671875
0,205.44921875
0,206.41455078125
0,207.3798828125
0,208.34521484375
0,209.310546875
0,210.27587890625
0,211.2412109375
0,212.20654296875
0,213.171875
0,214.138671875
0,215.10546875
0,216.072265625
0,217.0390625
0,218.005859375
0,218.97265625
0,219.939453125
0,220.90625
0,221.873046875
0,222.83984375
0,223.806640625
0,224.7734375
0,225.740234375
0,226.70703125
0,227.673828125
0,228.640625
0,229.607421875
0,230.57421875
0,231.541015625
0,232.5078125
0,233.474609375
0,234.44140625
0,235.408203125
0,236.375
0,237.341796875
0,238.30859375
0,239.275390625
0,240.2421875
0,241.208984375
0,242.17578125
0,243.142578125
0,244.109375
0,245.07861328125
0,246.0478515625
0,247.01708984375
0,247.986328125
0,248.95556640625
0,244.0498046875
687,245.01904296875
686,245.98828125
686,246.83251953125
685,247.8017578125
680,248.89599609375
679,249.865234375
679,250.83447265625
678,251.8037109375
677,252.77294921875
677,253.6171875
676,254.71142578125
673,255.5556640625
673,256.52490234375
672,257.619140625
669,258.58837890625
669,259.4326171875
669,260.52685546875
668,261.49609375
670,262.46533203125
670,263.4345703125
670,264.27880859375
671,265.373046875
674,266.21728515625
676,267.1865234375
676,268.28076171875
677,269.125
679,270.2216796875
681,271.068359375
681,272.0400390625
683,273.13671875
686,274.1083984375
689,274.955078125
691,276.0517578125
693,276.8984375
698,277.8701171875
701,278.966796875
700,279.9384765625
706,280.78515625
718,281.7568359375
724,282.603515625
727,283.5751953125
731,284.546875
730,285.6435546875
0,292.615234375
0,293.5869140625
0,294.55859375
0,295.5302734375
0,296.501953125
0,297.4736328125
0,298.4453125
0,299.4169921875
0,294.263671875
0,301.3603515625
0,302.33203125
0,303.3037109375
752,298.025390625
0,305.2470703125
0,306.21875
0,307.1953125
0,308.171875
0,309.1484375
0,310.125
0,311.1015625
0,312.078125
0,313.0546875
0,314.03125
0,315.0078125
0,315.984375
0,316.9609375
0,317.9375
0,318.9140625
0,319.890625
0,320.8671875
0,321.84375
0,322.8203125
0,316.671875
1540,317.6484375
1580,318.625
1622,319.4765625
1671,320.453125
1717,321.4296875
0,322.40625
1827,323.3828125
0,324.234375
0,325.2109375
0,326.1875
0,334.5390625
0,335.515625
0,328.8671875
2950,329.84375
2936,330.94384765625
2932,331.7939453125
2923,332.89404296875
0,341.369140625
0,342.34423828125
0,335.5693359375
5006,336.54443359375
5040,337.51953125
5146,338.49462890625
0,347.2197265625
0,340.31982421875
5917,341.294921875
5930,342.27001953125
0,351.1201171875
0,352.09521484375
0,353.0703125
0,346.29541015625
0,355.0205078125
0,355.99560546875
5186,349.220703125
0,357.94580078125
0,358.9208984375
0,359.89599609375
0,353.12109375
4887,354.09619140625
4876,355.0712890625
4868,356.04638671875
4853,357.021484375
4830,357.99658203125
0,358.8466796875
0,367.69677734375
0,8.671875
0,9.6513671875
0,2.880859375
4844,3.8603515625
0,4.83984375
0,5.8193359375
4942,6.798828125
0,15.5283203125
0,16.5078125
0,10.1123046875
0,11.091796875
0,12.1962890625
0,13.17578125
0,21.4052734375
0,22.384765625
0,23.3642578125
0,24.34375
0,25.3232421875
0,26.302734375
0,27.2822265625
0,28.26171875
0,29.2412109375
0,30.220703125
0,31.2001953125
0,32.1796875
0,33.1591796875
0,34.138671875
0,35.1181640625
0,30.47265625
0,30.4521484375
0,38.056640625
0,39.0361328125
0,34.765625
0,40.9931640625
0,41.970703125
0,42.9482421875
0,43.92578125
0,44.9033203125
0,45.880859375
0,46.8583984375
0,47.8359375
0,48.8134765625
0,49.791015625
0,50.7685546875
0,51.74609375
0,52.7236328125
0,53.701171875
0,54.6787109375
0,55.65625
0,56.6337890625
0,57.611328125
0,58.5888671875
0,59.56640625
0,60.5439453125
0,61.521484375
0,62.4990234375
0,63.4765625
0,64.4541015625
0,65.431640625
0,66.4091796875
0,67.38671875
0,68.3642578125
0,69.341796875
0,70.3193359375
0,71.296875
0,72.2822265625
0,73.267578125
0,74.2529296875
0,75.23828125
0,71.4736328125
0,77.208984375
0,78.1943359375
439,74.6796875
0,80.1650390625
437,76.275390625
439,77.5107421875
439,78.37109375
0,84.1064453125
435,80.591796875
436,81.2021484375
0,87.0625
437,83.1728515625
0,89.033203125
0,90.0185546875
0,91.00390625
0,91.9892578125
0,92.974609375
0,93.9599609375
0,94.9453125
0,95.9306640625
0,96.916015625
0,97.9013671875
0,98.88671875
0,99.8720703125
0,100.857421875
0,101.8427734375
0,102.828125
0,103.8076171875
0,104.787109375
0,105.7666015625
0,106.74609375
0,107.7255859375
0,108.705078125
0,109.6845703125
0,110.6640625
0,111.6435546875
0,112.623046875
0,113.6025390625
0,114.58203125
0,115.5615234375
0,116.541015625
0,117.5205078125
0,118.5
0,119.4794921875
0,120.458984375
0,121.4384765625
0,122.41796875
0,123.3974609375
0,124.376953125
0,125.3564453125
0,126.3359375
0,127.3154296875
0,128.294921875
0,129.2744140625
0,130.25390625
0,131.2333984375
0,132.212890625
0,133.1923828125
0,134.171875
0,135.15869140625
0,136.1455078125
0,137.13232421875
0,138.119140625
0,139.10595703125
0,140.0927734375
0,141.07958984375
0,142.06640625
0,143.05322265625
0,144.0400390625
0,145.02685546875
0,146.013671875
0,147.00048828125
0,147.9873046875
0,148.97412109375
0,149.9609375
0,150.94775390625
0,151.9345703125
0,152.92138671875
0,153.908203125
0,154.89501953125
0,155.8818359375
0,156.86865234375
0,157.85546875
0,158.84228515625
0,159.8291015625
0,160.81591796875
0,161.802734375
0,162.78955078125
0,163.7763671875
0,164.76318359375
0,165.75
0,166.73681640625
0,167.7236328125
0,168.71044921875
0,169.697265625
0,170.68408203125
0,171.4208984375
0,172.65771484375
0,173.64453125
0,174.63134765625
0,175.6181640625
0,176.60498046875
0,177.591796875
0,178.57861328125
0,179.5654296875
0,180.55224609375
0,181.5390625
0,182.52587890625
0,183.5126953125
0,184.49951171875
0,185.486328125
0,186.47314453125
0,187.4599609375
0,188.44677734375
0,189.43359375
0,190.42041015625
0,191.4072265625
0,192.39404296875
0,193.380859375
0,194.36767578125
0,195.3544921875
0,196.34130859375
0,197.328125
0,198.31982421875
0,199.3115234375
0,200.30322265625
0,201.294921875
0,202.28662109375
0,203.2783203125
0,204.27001953125
0,205.26171875
0,206.25341796875
0,207.2451171875
0,208.23681640625
0,209.228515625
0,210.22021484375
0,211.2119140625
0,212.20361328125
0,213.1953125
0,214.18701171875
0,215.1787109375
0,216.17041015625
0,217.162109375
0,218.15380859375
0,219.1455078125
0,220.13720703125
0,221.12890625
0,222.12060546875
0,223.1123046875
0,224.10400390625
0,225.095703125
0,226.08740234375
0,227.0791015625
0,228.07080078125
0,229.0625
0,230.0576171875
0,231.052734375
0,232.0478515625
0,233.04296875
0,234.0380859375
0,235.033203125
0,236.0283203125
0,237.0234375
0,238.0185546875
0,239.013671875
0,240.0087890625
0,241.00390625
0,241.9990234375
0,242.994140625
0,243.9892578125
0,244.984375
0,245.9794921875
0,246.974609375
0,247.9697265625
0,248.96484375
0,249.9599609375
0,244.955078125
691,245.9501953125
687,247.0703125
684,247.9404296875
682,249.060546875
685,250.0556640625
684,250.92578125
680,252.0458984375
678,253.041015625
677,254.0361328125
675,254.90625
675,256.029296875
674,257.02734375
672,257.900390625
669,259.0234375
668,260.021484375
669,260.89453125
669,262.017578125
669,262.890625
670,264.013671875
672,265.01171875
674,266.009765625
675,267.0078125
676,268.005859375
678,268.87890625
681,270.001953125
681,270.875
681,271.873046875
683,272.99609375
685,273.869140625
688,274.8671875
691,275.865234375
697,276.86328125
698,277.861328125
698,278.734375
701,279.857421875
709,280.85546875
717,281.728515625
721,282.8515625
726,283.724609375
727,284.84765625
0,291.845703125
0,292.84375
0,287.71875
0,294.84375
0,295.84375
0,296.84375
0,297.84375
0,298.84375
0,299.84375
0,294.34375
0,301.84375
0,302.84375
0,303.84375
0,304.84375
0,305.84375
0,306.84375
0,307.84375
0,308.84375
0,309.84375
0,310.84375
0,311.84375
0,312.84375
0,313.84375
0,314.84375
0,315.84375
0,316.84375
0,317.84375
0,318.84375
0,319.84375
0,320.84375
0,321.84375
0,322.84375
0,316.71875
1543,317.71875
1586,318.72509765625
1632,319.6064453125
1678,320.61279296875
1728,321.619140625
1782,322.62548828125
0,323.6318359375
0,324.51318359375
0,325.51953125
0,326.52587890625
0,334.9072265625
0,335.91357421875
0,329.294921875
2965,330.30126953125
2946,331.3076171875
2934,332.31396484375
0,340.9453125
0,341.95166015625
