time(s),distance(mm),angle(rad)
63782539408.2277,1124,0.245351704906821
63782539408.2935,998,0.27682387740494
63782539408.3666,880.5,0.311462015806948
63782539408.4332,760.5,0.348200855676809
63782539408.4973,641,0.419786625778138
63782539408.5634,528.5,0.486404002549816
63782539408.6283,422,0.600905444087964
63782539408.6946,327.8,0.789803294815944
63782539408.7511,251.75,1.08916714070676
63782539408.8176,213.25,1.50914274893277
63782539408.8739,236,2.00536456188741
63782539408.8824,228,1.96182595594732
63782539408.9397,293,2.31136141579699
63782539409.005,381,2.5296447593278
63782539409.0707,480,2.6763959354325
63782539409.2752,313,2.50925152548681
63782539409.4806,156,1.76684759360217
63782539409.5462,160,1.25619391143053
63782539409.5536,158.5,1.21967664656336
63782539409.619,199.6,0.821564361129286
63782539409.6931,261.666666666667,0.578783364679748
63782539409.759,336.666666666667,0.425742110545245
63782539409.8246,409,0.351213423501906
63782539409.89,491.333333333333,0.271307084585788
63782539409.9552,570.5,0.235926245176812
63782539410.0291,647,0.185892905145275
63782539410.0942,729,0.157599481724273
63782539410.1604,810,0.14000131324103
63782539410.225,897,0.121691548114517
63782539410.291,972,0.101447262772171
63782539410.3564,1051,0.0927887934361052
63782539410.4217,1136,0.0851529779586298
63782539410.4874,1218,0.0744662451363605
