time(s),distance(mm),angle(rad)
63782539175.7105,1178,0.00580356064750068
63782539175.7755,1043,0.00425253562863872
63782539175.8497,913,0.00272707695624114
63782539175.9146,783,-0.0148625694115141
63782539175.9899,652,-0.0186463886882988
63782539176.0545,527.666666666667,-0.0442012657362075
63782539176.1278,398,-0.0674952506353326
63782539176.1938,267,-0.110874656436581
63782539176.2595,152,-0.103288039717633
63782539176.4807,180.8,-1.12362388289526
63782539176.5544,254.25,-1.18758563100148
63782539176.6187,322.333333333333,-1.21520812967822
63782539176.6932,391,-1.23931226854003
63782539177.299,442.333333333333,-1.17283335364676
63782539177.364,413,-1.15899979549003
63782539177.4306,380.75,-1.16280912018764
63782539177.4952,347.25,-1.15285543014365
63782539177.5605,317.8,-1.13462235083632
63782539177.6258,284.25,-1.11906092694165
63782539177.6344,290,-1.1772791220093
63782539177.6923,256.5,-1.06960219281522
63782539177.6999,250.666666666667,-1.11852467373503
63782539177.7655,219,-1.07913781057164
63782539177.831,184.25,-1.06006594558386
63782539177.8971,155.25,-1.05470979599949
63782539178.551,152,-0.617657364242153
63782539178.56,150.5,-0.786957710531799
63782539178.6257,150,-0.765723868552744
63782539178.691,170.5,-0.705132982517947
63782539178.7559,189.75,-0.715184453889727
63782539178.8223,207.4,-0.714248196103164
63782539178.8867,224.4,-0.717809265460109
63782539178.9522,240.6,-0.70160079226916
63782539179.0186,255.833333333333,-0.726179088859689
63782539179.0844,269.5,-0.695229920473981
63782539179.1503,286,-0.699359618907564
