time(s), distance(mm), angle(rad)
63782539019.5276,890,0.0633193180777234
63782539019.5918,767,0.0773680254601101
63782539019.6658,642.5,0.0930913285359385
63782539019.7299,519.5,0.128662638583909
63782539019.7958,401.5,0.178333631349761
63782539019.8611,281.75,0.281847882909673
63782539019.9273,161.5,0.482079028939527
63782539020.1071,152.571428571429,2.57633777748491
63782539020.1729,259.666666666667,2.75139556155035
63782539020.2384,377.5,2.85611441685189
63782539020.4423,344,2.79318025473019
63782539020.508,263.8,2.68382832934123
63782539020.5737,218,2.59065067044743
63782539020.6469,156.5,2.38650765498406
63782539020.9346,192.333333333333,0.626247656654313
63782539020.9999,258.8,0.451296728836748
63782539021.0741,325.75,0.367017884361157
63782539021.1401,395,0.311291399154559
63782539021.2044,465.333333333333,0.265435375144803
63782539021.2698,535,0.255833906957373
63782539021.2782,533,0.229619879715505
63782539021.3439,606,0.205297762112028
63782539021.4092,673,0.185735246008743
63782539021.4748,741,0.177336701195068
63782539021.54,816,0.155716094201369
63782539021.6139,884,0.157982976921245
63782539021.6792,958,0.135322671837979
63782539021.745,1025,0.139668950736988
63782539021.8753,1168,0.12507056690561
