time(s),distance(mm),angle(rad)
63782706878.455,916,0.0376507062271039
63782706878.5287,771,0.047757935196173
63782706878.6029,635,0.056015865104291
63782706878.6442,573,0.0374206091089218
63782706878.6847,501,0.0589048622548086
63782706878.7177,437,0.0577160271441975
63782706878.7586,368.5,0.0705247667230424
63782706878.791,301,0.0882081563611685
63782706878.8328,231,0.0989928935115538
63782706878.8653,160,0.169798890045708
63782706879.0528,151,0.60759700690827
63782706879.094,175,0.614052509390622
63782706879.135,214,0.589082711010039
63782706879.1763,251,0.605487783324928
63782706879.2084,287,0.64280612704799
63782706879.2495,322,0.630785683151808
63782706879.2902,356,0.631105262482618
63782706879.323,389,0.638204184684333
63782706879.3638,425.5,0.646112707857432
63782706879.4049,458,0.6446128155315
63782706879.4378,492,0.661043454192853
63782706879.4793,528,0.669616702374035
63782706879.5195,559,0.671116594699968
