time(s),distance(mm),angle(rad)
63782706673.0244,984,0.113719109075255
63782706673.1715,712,0.14258351423397
63782706673.2446,581,0.170033248221636
63782706673.2859,513,0.205331850573981
63782706673.3271,446,0.236164864410483
63782706673.3597,381,0.257521285824046
63782706673.4005,318.5,0.301533751263132
63782706673.4335,253.5,0.352866713906627
63782706673.4748,189.666666666667,0.471988844201436
63782706673.688,171,2.62362699632923
63782706673.7208,239.333333333333,2.71499972661701
63782706673.7607,303,2.81836159629357
63782706674.0554,244,2.74642215839948
63782706674.0969,205,2.60840223700947
63782706674.5232,161,0.663744964802629
63782706674.564,192,0.579606118587101
63782706674.5963,213,0.506997694627181
63782706674.6049,212,0.44288581980905
63782706674.6373,239,0.465750655664034
63782706674.6777,265.666666666667,0.401432877933578
63782706674.7114,288.333333333333,0.381666181102416
63782706674.7515,316,0.337927445455719
63782706674.7933,341,0.31469615863474
63782706674.8252,363,0.309804464344483
63782706674.867,391,0.277684611069255
63782706674.9077,415,0.26745807248335
63782706674.9405,441,0.26033358393517
63782706674.9805,467,0.243178565457316
63782706675.0134,491,0.223722575797632
63782706675.0546,516,0.227080289300005
63782706675.0956,546,0.230804453768372
63782706675.1286,573,0.188909734028117
63782706675.1702,597,0.185032171480962
63782706675.2017,620,0.184103260892743
63782706675.2434,645,0.179663238723362
63782706675.2838,670,0.172956333834106
63782706675.3173,698,0.170885459770461
63782706675.3576,723,0.165738102015556
63782706675.391,746,0.156074023051876
63782706675.4318,778,0.149392684509086
63782706675.6196,908,0.134461938173664
