time(s),distance(mm),angle(rad)
63782708447.911,1112,-0.345750747473935
63782708483.4709,978,-0.328340065531433
63782708487.6146,927,-0.320806515439817
63782708487.7611,874,-0.306966599886893
63782708487.8763,839,-0.310954949935396
63782708487.9089,827,-0.297063901689542
63782708488.023,786,-0.299637580566995
63782708488.0645,772,-0.286752141948755
63782708488.1787,736,-0.286513522715085
63782708488.2116,724,-0.269426681161136
63782708488.297,699,-0.283343295753454
63782708488.3265,685,-0.264134447442931
63782708488.3674,677,-0.248930993411887
63782708488.4409,651,-0.263290758009594
63782708488.4817,638,-0.248164003017944
63782708488.5155,626,-0.236914810573449
63782708488.5873,606,-0.250158178042196
63782708488.6293,594,-0.233233256682523
63782708488.6699,581,-0.220893233455532
63782708488.7023,572,-0.205988053466577
63782708488.7443,563,-0.192582765803554
63782708488.777,550,-0.221421604615804
63782708488.8172,537,-0.203951267864884
63782708488.8586,526,-0.193622463893121
63782708488.8907,514,-0.178657629095748
63782708488.9313,503,-0.165652880860673
63782708488.9649,492,-0.158136375000032
63782708489.0054,484,-0.160705792819742
63782708489.0382,473,-0.135586857418115
63782708489.0466,473,-0.176169171373178
63782708489.0798,463.5,-0.139034053133113
63782708489.1198,457,-0.149989232593263
63782708489.1532,455,-0.135893653575691
63782708489.1936,455,-0.140738476230763
63782708489.2354,450,-0.150807355680135
63782708489.2678,452,-0.186395709959083
63782708489.3416,470,-0.248095826094037
63782708489.3827,481,-0.271616864841617
63782708489.4239,491,-0.302944161376438
63782708489.456,504,-0.330112665552989
63782708489.4969,515,-0.360008246685783
63782708489.5372,528,-0.394335327872469
63782708489.5709,540,-0.422458308983706
63782708489.6123,555,-0.450649467018848
63782708489.6441,572,-0.479181509673521
63782708489.6867,584,-0.467813007612191
63782708489.7265,596,-0.501040735900892
63782708489.7586,607,-0.527859833342425
63782708489.8001,624,-0.556732760616629
63782708489.8331,622,-0.54657439895463
