time(ms),start,qual,angle(deg),distance(mm)
63782102953928.9,2,60,130,0
63782102953930.3,2,60,16,0
63782102953930.7,2,0,23,0
63782102953930.9,2,0,22,0
63782102953931.1,2,60,22,0
63782102953933.2,2,60,21,336
63782102953933.3,2,60,25,330
63782102953933.3,2,60,24,0
63782102953933.3,2,0,30,0
63782102953933.3,2,0,33,0
63782102953933.3,2,0,36,0
63782102953933.3,2,0,35,0
63782102953933.3,2,0,38,0
63782102953933.3,2,0,37,0
63782102953933.4,2,0,40,0
63782102953933.4,2,0,44,0
63782102953933.4,2,0,43,0
63782102953933.4,2,0,46,0
63782102953933.4,2,0,45,0
63782102953933.4,2,0,48,0
63782102953933.4,2,60,47,0
63782102953933.4,2,60,50,0
63782102953933.4,2,60,53,0
63782102953933.4,2,60,53,0
63782102953933.4,2,60,56,0
63782102953933.4,2,60,54,385
63782102953933.4,2,60,53,388
63782102953933.4,2,60,56,385
63782102953933.5,2,60,59,385
63782102953933.5,2,60,59,384
63782102953933.5,2,60,62,384
63782102953933.5,2,60,61,385
63782102953933.5,2,60,64,387
63782102953933.5,2,60,67,390
63782102953933.5,2,60,71,0
63782102953933.5,2,60,74,0
63782102953933.5,2,60,72,0
63782102953933.5,2,0,76,0
63782102953933.5,2,0,79,0
63782102953933.5,2,60,75,0
63782102953933.5,2,60,74,679
63782102953933.6,2,60,77,678
63782102953933.6,2,60,76,684
63782102953933.6,2,0,87,0
63782102953933.6,2,60,80,0
63782102953933.6,2,60,83,1960
63782102953933.6,2,60,82,1991
63782102953933.6,2,60,85,2024
63782102953933.6,2,60,85,0
63782102953933.6,2,0,94,0
63782102953933.6,2,60,91,0
63782102953933.6,2,60,90,0
63782102953933.6,2,0,100,0
63782102953933.6,2,0,103,0
63782102953933.6,2,0,102,0
63782102953933.7,2,60,99,0
63782102953933.7,2,60,98,0
63782102953933.7,2,0,107,0
63782102953933.7,2,60,102,0
63782102953933.7,2,60,106,743
63782102953933.7,2,60,105,732
63782102953933.7,2,60,108,728
63782102953933.7,2,0,115,0
63782102953933.7,2,60,118,0
63782102953933.7,2,60,112,0
63782102953933.7,2,60,115,950
63782102953933.7,2,60,114,953
63782102953933.8,2,60,118,958
63782102953933.8,2,0,126,0
63782102953933.8,2,60,120,0
63782102953933.8,2,0,128,0
63782102953933.8,0,54,131,0
63782102953933.8,2,60,125,0
63782102953933.8,2,60,128,1148
63782102953933.8,2,60,127,1138
63782102953933.8,2,60,132,0
63782102953933.8,2,60,131,686
63782102953933.8,2,60,134,675
63782102953933.8,2,60,133,664
63782102953933.8,2,60,137,661
63782102953933.8,2,60,140,661
63782102953933.8,2,60,139,660
63782102953933.9,2,60,142,663
63782102953933.9,2,60,141,665
63782102953933.9,2,60,144,667
63782102953933.9,2,60,147,670
63782102953933.9,2,60,147,0
63782102953934,2,0,153,0
63782102953934,2,60,150,0
63782102953934,2,60,154,0
63782102953934,2,60,154,461
63782102953934,2,60,156,460
63782102953934,2,60,159,462
63782102953934.1,2,60,159,0
63782102953934.1,2,60,162,438
63782102953934.1,2,60,161,436
63782102953934.1,2,60,164,436
63782102953934.1,2,60,167,438
63782102953934.1,2,60,172,0
63782102953934.1,2,60,175,0
63782102953934.1,2,60,174,0
63782102953934.1,2,0,177,0
63782102953934.2,2,60,174,0
63782102953934.2,2,60,173,582
63782102953934.2,2,60,176,585
63782102953934.2,2,60,179,587
63782102953934.2,2,60,178,594
63782102953934.2,2,60,184,0
