distance,angle
286,356.0625
286,357.03662109375
286,358.2607421875
286,358.98486328125
287,359.958984375
287,360.18310546875
288,361.1572265625
289,362.38134765625
290,363.10546875
291,363.70458984375
291,364.0537109375
292,365.77783203125
293,366.251953125
293,366.60107421875
293,367.4501953125
293,368.29931640625
293,369.8984375
293,370.62255859375
292,371.3466796875
292,371.94580078125
291,372.544921875
289,373.89404296875
289,374.9931640625
288,375.46728515625
286,376.81640625
284,377.41552734375
283,378.2646484375
281,378.98876953125
278,380.212890625
274,380.93701171875
270,382.5361328125
268,382.38525390625
264,24.109375
259,25.33349609375
254,25.1826171875
250,26.28173828125
246,28.005859375
243,29.85498046875
238,28.8291015625
234,31.17822265625
230,31.15234375
227,32.87646484375
223,34.2255859375
220,35.07470703125
216,35.923828125
214,36.77294921875
212,37.1220703125
209,38.47119140625
206,39.3203125
203,40.16943359375
201,41.0185546875
198,41.86767578125
196,42.716796875
194,43.56591796875
192,44.4150390625
189,45.26416015625
187,46.11328125
185,46.96240234375
184,47.8115234375
182,48.66064453125
179,49.509765625
178,50.35888671875
176,51.2080078125
175,52.05712890625
173,52.90625
172,53.76025390625
172,54.8642578125
171,55.71826171875
169,56.572265625
168,57.42626953125
167,58.2802734375
167,59.13427734375
166,59.98828125
165,60.84228515625
164,61.6962890625
164,62.55029296875
163,63.404296875
163,64.25830078125
162,65.1123046875
162,65.96630859375
162,66.8203125
161,67.67431640625
160,68.5283203125
160,69.38232421875
160,70.236328125
160,71.09033203125
160,71.9443359375
160,72.79833984375
160,73.65234375
159,74.50634765625
159,75.3603515625
159,76.21435546875
159,77.068359375
159,77.92236328125
159,78.7763671875
159,79.63037109375
160,80.484375
160,81.34375
160,82.203125
160,83.0625
160,83.921875
160,84.78125
161,85.640625
161,86.5
162,87.359375
163,88.21875
163,89.078125
163,89.9375
164,90.796875
164,91.65625
164,92.515625
165,93.375
166,94.234375
166,95.09375
167,95.953125
168,96.8125
169,97.671875
170,98.53125
171,99.390625
172,100
173,100.859375
174,101.71875
175,102.578125
177,103.4375
178,104.296875
0,105.40625
0,106.265625
181,106.875
184,107.734375
0,108.837890625
0,109.69140625
0,110.544921875
0,111.3984375
0,112.251953125
0,113.10546875
0,113.958984375
0,114.8125
0,115.666015625
0,116.26953125
0,117.373046875
0,118.2265625
207,118.830078125
0,119.93359375
0,120.787109375
0,121.640625
0,122.494140625
0,123.34765625
0,124.201171875
0,125.0546875
0,125.908203125
0,126.76171875
0,127.615234375
0,128.46875
0,129.322265625
0,130.17578125
0,131.029296875
253,129.6328125
256,130.611328125
258,131.46484375
259,132.443359375
261,133.546875
263,134.783203125
263,134.39453125
265,136.005859375
267,137.2421875
268,137.603515625
269,138.33984375
270,138.451171875
271,139.8125
272,140.798828125
273,141.78515625
273,142.521484375
274,142.6328125
274,144.244140625
274,144.60546875
273,145.341796875
272,146.828125
271,147.064453125
270,148.05078125
270,149.912109375
269,149.7734375
269,151.384765625
268,151.62109375
267,153.357421875
266,153.71875
266,153.955078125
265,155.81640625
264,155.802734375
264,156.6640625
264,158.900390625
264,159.38671875
263,159.248046875
264,160.234375
264,160.97119140625
264,162.9580078125
263,163.81982421875
263,163.931640625
262,165.79345703125
262,165.7802734375
262,167.01708984375
262,167.87890625
262,169.24072265625
263,169.3525390625
263,170.58935546875
263,170.951171875
263,171.93798828125
263,172.7998046875
263,173.28662109375
264,174.0234375
264,174.88525390625
264,176.8720703125
265,177.48388671875
266,177.470703125
266,178.70751953125
267,179.6943359375
268,180.93115234375
268,180.66796875
269,182.02978515625
270,182.3916015625
271,183.87841796875
271,184.615234375
273,185.10205078125
275,185.9638671875
277,187.57568359375
279,187.6875
281,188.92822265625
282,189.0439453125
283,190.65966796875
284,190.900390625
285,192.51611328125
286,192.6318359375
288,193.49755859375
289,194.48828125
289,195.72900390625
290,196.5947265625
289,196.71044921875
289,197.951171875
289,198.56689453125
289,199.4326171875
289,200.92333984375
288,201.4140625
287,202.27978515625
286,203.3955078125
285,203.76123046875
284,205.376953125
283,205.86767578125
281,206.7333984375
279,207.59912109375
276,208.46484375
273,209.58056640625
271,210.3212890625
267,212.06201171875
263,213.427734375
259,213.16845703125
